#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
'266','51630','279','26','299566093503064064',145.34744,0.054345,29.66,0.090171,1.9e-05,'0','GALAXY',''
'266','51630','281','26','299566643258877952',145.34998,-1.25386,21.96,0.088173,2.6e-05,'0','GALAXY',''
'266','51630','283','26','299567193014691840',145.20738,-0.863053,23.4,0.141459,2.7e-05,'0','GALAXY',''
'266','51630','284','26','299567467892598784',145.27784,-0.733136,17.49,0.147675,3.3e-05,'0','GALAXY',''
'266','51630','285','26','299567742770505728',145.35048,-1.080556,18.35,0.071414,1.3e-05,'0','GALAXY','STARFORMING'
'266','51630','286','26','299568017648412672',145.29601,-0.943207,3.75,0.460163,0.000207,'0','GALAXY',''
'266','51630','287','26','299568292526319616',145.25691,-1.101886,11.93,0.06655,1.2e-05,'0','GALAXY',''
'266','51630','288','26','299568567404226560',145.29141,-0.860359,5.19,0.369426,0.000133,'0','GALAXY',''
'266','51630','289','26','299568842282133504',145.35144,-1.238558,11.95,0.090671,1.1e-05,'0','GALAXY','STARFORMING'
'266','51630','290','26','299569117160040448',145.1963,-0.87998,19.5,0.118615,1.6e-05,'0','GALAXY','STARFORMING'
'266','51630','291','26','299569392037947392',145.36211,-0.71402,10.61,0.131562,8e-06,'0','GALAXY','STARFORMING'
'266','51630','292','26','299569666915854336',145.3416,-0.577275,32.39,0.089707,2e-05,'0','GALAXY',''
'266','51630','293','26','299569941793761280',145.34203,-0.906341,18.37,0.151091,3.1e-05,'0','GALAXY',''
'266','51630','295','26','299570491549575168',145.16039,-0.655469,16.27,0.150441,1.2e-05,'0','GALAXY','STARFORMING'
'266','51630','296','26','299570766427482112',145.22485,-0.548023,18.9,0.12967,2.5e-05,'0','GALAXY',''
'266','51630','299','26','299571591061202944',145.2669,-0.957321,4.06,0.405938,0.000149,'0','GALAXY',''
'266','51630','300','26','299571865939109888',145.18668,-0.893378,12.37,0.142611,1e-05,'0','GALAXY','STARFORMING'
'266','51630','302','26','299572415694923776',145.3206,-0.252861,26.3,0.051954,1e-05,'0','GALAXY','STARFORMING'
'266','51630','303','26','299572690572830720',145.28961,-0.147307,18.5,0.122171,3e-05,'0','GALAXY',''
'266','51630','304','26','299572965450737664',145.34432,-0.016916,21.84,0.091035,2.7e-05,'0','GALAXY',''
'266','51630','305','26','299573240328644608',145.17299,-0.005654,3.34,0.437511,0.000123,'0','GALAXY',''
'266','51630','306','26','299573515206551552',145.34424,-0.368501,15.51,0.204814,3.9e-05,'0','GALAXY',''
'266','51630','307','26','299573790084458496',145.32998,0.043081,15.92,0.120429,1.7e-05,'0','GALAXY','STARFORMING'
'266','51630','308','26','299574064962365440',145.20774,-0.322106,16.91,0.122389,3.8e-05,'0','GALAXY',''
'266','51630','309','26','299574339840272384',145.34053,0.019135,23.39,0.120293,2.7e-05,'0','GALAXY',''
'266','51630','310','26','299574614718179328',145.25355,-0.107234,3.12,0.484813,0.000196,'0','GALAXY',''
'266','51630','311','26','299574889596086272',145.23331,-0.435672,13.83,0.221124,4.8e-05,'0','GALAXY',''
'266','51630','312','26','299575164473993216',145.21905,-0.186154,18.94,0.123589,3.3e-05,'0','GALAXY',''
'266','51630','315','26','299575989107714048',145.31208,-0.400766,7.02,0.336823,7.8e-05,'0','GALAXY',''
'266','51630','317','26','299576538863527936',145.33123,-0.542068,11.62,0.153353,1.8e-05,'0','GALAXY',''
'266','51630','318','26','299576813741434880',145.2754,-0.473478,11.99,0.148294,2.9e-05,'0','GALAXY',''
'266','51630','319','26','299577088619341824',145.16739,-0.482343,10.46,0.062374,9e-06,'0','GALAXY','STARFORMING'
